DATE,GRSMIN,MIN,MAX,HUM,RAIN,BAR,PROFIT
13.10.2016,5,6,11,97,0.2,1010,127.34
14.10.2016,5.5,7,12.5,97,0,1002,109.89
15.10.2016,7.5,7.5,15.5,97,7.1,1001,110.46
16.10.2016,6,7.5,16.5,100,1.8,1005,66.43
17.10.2016,8,9.5,16,97,0.3,1012,110.07
18.10.2016,6,7,12,100,0.2,1012,147.52
19.10.2016,6,8,12.5,97,0.4,1016,103.14
20.10.2016,7,8.5,12,94,0.2,1016,112.87
21.10.2016,6,7.5,11,96,0,1015,109.26
22.10.2016,5,6,11.5,96,0,1012,145.14
23.10.2016,4.5,5.5,12,98,0,1008,129.17
24.10.2016,5.5,6,12,89,0.3,1008,98.37
25.10.2016,6,6.5,12,93,0,1018,101.19
26.10.2016,6.5,7.5,13.5,96,0,1022,99.29
27.10.2016,7,8,12.5,100,0,1027,102.68
28.10.2016,7,8,15,95,0,1028,137.62
29.10.2016,10,10,14.5,95,0,1031,104.07
30.10.2016,6.5,6.5,11,96,0,1026,96.95
31.10.2016,9,8.5,14.5,96,0,1023,76.93
1.11.2016,6.5,7.8,10.5,97,0,1019,101.03
2.11.2016,1.5,2,8.5,89,0,1019,117.59
3.11.2016,1,1,9.5,91,0.3,1017,94.88
4.11.2016,4,2.5,9,94,3.3,1005,84.52
5.11.2016,1,1.5,7.5,95,0,999,101.51
6.11.2016,-0.5,1,6,85,3.7,1000,128.68
7.11.2016,1,1.5,7,86,0,1007,81.91
8.11.2016,-1,-1.5,5,98,18,1006,78.34
9.11.2016,0,0,6,100,0.3,993,110.3
10.11.2016,1,4,9,97,0.4,1000,106.72
11.11.2016,1,2.5,7,93,6.4,1016,64.63
12.11.2016,1.5,4,9,97,3.6,1010,118.63
13.11.2016,3,5,8.5,94,0.2,1021,72.52
14.11.2016,3,4.8,12.5,93,0.9,1025,150.17
15.11.2016,8,7,14,96,0.8,1020,154.34
16.11.2016,7.5,10,12.5,84,2.8,1010,134.31
17.11.2016,4,5.5,10.5,91,2.3,997,94.09
18.11.2016,0.5,2,5.5,89,0,989,86.51
19.11.2016,-1,0,7.5,94,13.4,997,90.74
20.11.2016,0,0.5,7.5,97,9.5,976,69.26
21.11.2016,3.5,4,11,100,11.3,986,106.75
22.11.2016,5.5,6,10,86,0.4,992,124.4
23.11.2016,3,4,8.5,97,0,1012,103.14
24.11.2016,5.5,5.5,9,87,0,1019,118.99
25.11.2016,2,3.5,8.5,90,0,1018,99.5
26.11.2016,2,3,7,97,0,1016,102.01
27.11.2016,1.5,3.5,7,95,0,1020,97.85
28.11.2016,0,2.5,6.5,88,0,1025,93.72
29.11.2016,-3.5,-2,3,89,0,1029,106.26
30.11.2016,-4.5,-3,5,91,0,1029,88.93
1.12.2016,-2.5,-2,7,100,0,1025,121.45
2.12.2016,-0.5,2.5,7,91,0.1,1022,98.75
3.12.2016,2,4,6.5,90,0,1021,49.64
4.12.2016,-3.5,-1.5,6,100,0,1020,114.66
5.12.2016,-3.5,-2,5,95,0,1019,146.66
6.12.2016,-1,-0.5,9.5,100,0.1,1022,104.89
7.12.2016,4,5,11.5,97,0,1021,118.07
8.12.2016,6.5,9,12.5,94,0.2,1019,115.26
9.12.2016,5.5,10.5,12,93,0.3,1020,121.68
10.12.2016,8,10,12,95,9.9,1017,73.72
11.12.2016,1,3.5,9,97,0.1,1019,77.86
12.12.2016,0,0.5,10,98,1.5,1018,82.46
13.12.2016,2.5,4.5,11.5,100,0.4,1015,128.62
14.12.2016,4,7,11,97,0,1015,96.79
15.12.2016,0.5,5,9,96,0,1014,84.03
16.12.2016,3,5.5,8.5,97,0,1018,108.87
17.12.2016,0.5,2.5,6.5,96,0.1,1032,69.08
18.12.2016,4,4.5,6.5,97,0,1032,115.13
19.12.2016,0.5,3.8,5.5,100,0,1022,96.04
20.12.2016,-1,1,8.5,96,0.7,1017,123.17
21.12.2016,-1,2,10,97,0.3,1013,130.21
22.12.2016,-2,0.5,7.5,100,0,1021,115.13
23.12.2016,-0.5,1.5,10,97,2.2,1022,125.36
24.12.2016,0,3.5,10.5,93,0.1,1020,111.36
26.12.2016,2.5,5,7.5,84,0,1024,132.37
27.12.2016,-3,0,5.5,94,0,1037,85.58
28.12.2016,-4.5,-1.5,2,93,0,1038,118.11
29.12.2016,-4.5,-1,4,95,0.1,1032,83.81
30.12.2016,-4,-1,5,100,0.1,1031,106.24
31.12.2016,0,-0.5,7,97,0.8,1027,117.86
